Id,Timestamp,Datetime,minute,Xvib,Yvib,Zvib
651,1669782067.515979,2022-11-30 13:21:07.515979,21,-2358,3356,-275
650,1669782067.594194,2022-11-30 13:21:07.594194,21,-2144,-3289,28
651,1669782067.750416,2022-11-30 13:21:07.750416,21,-2358,3396,-343
650,1669782067.812917,2022-11-30 13:21:07.812917,21,-2132,-3309,-12
651,1669782067.844174,2022-11-30 13:21:07.844174,21,-2362,3376,-319
650,1669782067.984758,2022-11-30 13:21:07.984758,21,-2152,-3277,4
651,1669782068.000383,2022-11-30 13:21:08.000383,21,-2326,3332,-303
650,1669782068.047291,2022-11-30 13:21:08.047291,21,-2148,-3289,-12
651,1669782068.062711,2022-11-30 13:21:08.062711,21,-2362,3368,-359
650,1669782068.284141,2022-11-30 13:21:08.284141,21,-2132,-3293,-20
651,1669782068.315385,2022-11-30 13:21:08.315385,21,-2326,3368,-323
650,1669782068.361906,2022-11-30 13:21:08.361906,21,-2156,-3293,-12
651,1669782068.596641,2022-11-30 13:21:08.596641,21,-2374,3384,-363
650,1669782068.721642,2022-11-30 13:21:08.721642,21,-2148,-3329,-4
651,1669782068.737316,2022-11-30 13:21:08.737316,21,-2366,3384,-335
650,1669782068.752536,2022-11-30 13:21:08.752536,21,-2156,-3249,-16
651,1669782068.893513,2022-11-30 13:21:08.893513,21,-2330,3368,-375
650,1669782069.096638,2022-11-30 13:21:09.096638,21,-2160,-3293,-40
651,1669782069.143515,2022-11-30 13:21:09.143515,21,-2370,3316,-295
650,1669782069.284151,2022-11-30 13:21:09.284151,21,-2116,-3301,-28
651,1669782069.331058,2022-11-30 13:21:09.331058,21,-2354,3392,-355
651,1669782069.346436,2022-11-30 13:21:09.346436,21,-2382,3384,-287
650,1669782069.393513,2022-11-30 13:21:09.393513,21,-2120,-3317,28
650,1669782069.596639,2022-11-30 13:21:09.596639,21,-2128,-3281,-8
651,1669782069.674766,2022-11-30 13:21:09.674766,21,-2354,3368,-331
650,1669782069.737264,2022-11-30 13:21:09.737264,21,-2128,-3329,-16
651,1669782069.737264,2022-11-30 13:21:09.737264,21,-2334,3368,-335
651,1669782069.893515,2022-11-30 13:21:09.893515,21,-2370,3376,-299
650,1669782069.940595,2022-11-30 13:21:09.940595,21,-2140,-3293,-24
650,1669782070.098558,2022-11-30 13:21:10.098558,21,-2144,-3273,-12
651,1669782070.16107,2022-11-30 13:21:10.161070,21,-2326,3392,-359
651,1669782070.256246,2022-11-30 13:21:10.256246,21,-2406,3372,-323
650,1669782070.256246,2022-11-30 13:21:10.256246,21,-2140,-3293,-4
650,1669782070.396905,2022-11-30 13:21:10.396905,21,-2196,-3313,-16
651,1669782070.443777,2022-11-30 13:21:10.443777,21,-2362,3356,-363
650,1669782070.58848,2022-11-30 13:21:10.588480,21,-2124,-3305,-4
651,1669782070.697836,2022-11-30 13:21:10.697836,21,-2346,3360,-335
650,1669782070.885352,2022-11-30 13:21:10.885352,21,-2172,-3305,-8
651,1669782070.947853,2022-11-30 13:21:10.947853,21,-2362,3364,-327
650,1669782070.963478,2022-11-30 13:21:10.963478,21,-2104,-3281,-28
651,1669782070.979148,2022-11-30 13:21:10.979148,21,-2354,3348,-319
650,1669782071.197801,2022-11-30 13:21:11.197801,21,-2136,-3285,20
651,1669782071.338474,2022-11-30 13:21:11.338474,21,-2370,3360,-327
650,1669782071.354118,2022-11-30 13:21:11.354118,21,-2196,-3297,-4
651,1669782071.369376,2022-11-30 13:21:11.369376,21,-2346,3380,-303
650,1669782071.46312,2022-11-30 13:21:11.463120,21,-2160,-3281,12
651,1669782071.47875,2022-11-30 13:21:11.478750,21,-2330,3384,-371
650,1669782071.697869,2022-11-30 13:21:11.697869,21,-2128,-3305,16
651,1669782071.729101,2022-11-30 13:21:11.729101,21,-2362,3372,-339
650,1669782071.885353,2022-11-30 13:21:11.885353,21,-2148,-3265,-8
651,1669782071.947851,2022-11-30 13:21:11.947851,21,-2374,3428,-367
651,1669782071.979099,2022-11-30 13:21:11.979099,21,-2326,3412,-307
650,1669782072.182482,2022-11-30 13:21:12.182482,21,-2120,-3309,-8
650,1669782072.183593,2022-11-30 13:21:12.183593,21,-2112,-3309,28
651,1669782072.21546,2022-11-30 13:21:12.215460,21,-2306,3356,-355
650,1669782072.34046,2022-11-30 13:21:12.340460,21,-2124,-3281,12
651,1669782072.355735,2022-11-30 13:21:12.355735,21,-2330,3360,-327
650,1669782072.527928,2022-11-30 13:21:12.527928,21,-2152,-3301,0
651,1669782072.684211,2022-11-30 13:21:12.684211,21,-2334,3396,-331
650,1669782072.793584,2022-11-30 13:21:12.793584,21,-2124,-3317,4
651,1669782072.902995,2022-11-30 13:21:12.902995,21,-2374,3400,-335
650,1669782072.949479,2022-11-30 13:21:12.949479,21,-2156,-3277,-44
651,1669782072.949479,2022-11-30 13:21:12.949479,21,-2338,3332,-343
650,1669782073.18421,2022-11-30 13:21:13.184210,21,-2168,-3265,16
651,1669782073.215459,2022-11-30 13:21:13.215459,21,-2330,3340,-331
651,1669782073.24671,2022-11-30 13:21:13.246710,21,-2318,3368,-331
650,1669782073.262131,2022-11-30 13:21:13.262131,21,-2132,-3281,12
651,1669782073.496725,2022-11-30 13:21:13.496725,21,-2322,3368,-339
650,1669782073.637336,2022-11-30 13:21:13.637336,21,-2132,-3313,4
651,1669782073.731083,2022-11-30 13:21:13.731083,21,-2334,3368,-335
650,1669782073.761983,2022-11-30 13:21:13.761983,21,-2136,-3289,4
651,1669782073.777609,2022-11-30 13:21:13.777609,21,-2418,3400,-355
650,1669782073.996741,2022-11-30 13:21:13.996741,21,-2168,-3317,24
651,1669782074.04357,2022-11-30 13:21:14.043570,21,-2378,3332,-323
650,1669782074.184487,2022-11-30 13:21:14.184487,21,-2144,-3273,24
650,1669782074.326871,2022-11-30 13:21:14.326871,21,-2136,-3281,-36
651,1669782074.342433,2022-11-30 13:21:14.342433,21,-2354,3332,-351
651,1669782074.498714,2022-11-30 13:21:14.498714,21,-2358,3368,-355
650,1669782074.561076,2022-11-30 13:21:14.561076,21,-2156,-3269,-4
651,1669782074.686182,2022-11-30 13:21:14.686182,21,-2334,3344,-363
650,1669782074.733057,2022-11-30 13:21:14.733057,21,-2160,-3285,-4
650,1669782074.779934,2022-11-30 13:21:14.779934,21,-2128,-3293,24
651,1669782074.795606,2022-11-30 13:21:14.795606,21,-2382,3336,-287
651,1669782074.998692,2022-11-30 13:21:14.998692,21,-2370,3380,-319
650,1669782075.061178,2022-11-30 13:21:15.061178,21,-2148,-3285,8
651,1669782075.373684,2022-11-30 13:21:15.373684,21,-2302,3396,-307
650,1669782075.420572,2022-11-30 13:21:15.420572,21,-2132,-3309,-16
651,1669782075.451451,2022-11-30 13:21:15.451451,21,-2346,3304,-307
650,1669782075.483057,2022-11-30 13:21:15.483057,21,-2144,-3281,4
651,1669782075.483057,2022-11-30 13:21:15.483057,21,-2370,3416,-295
650,1669782075.498449,2022-11-30 13:21:15.498449,21,-2148,-3297,-8
651,1669782075.686182,2022-11-30 13:21:15.686182,21,-2318,3324,-315
650,1669782075.717446,2022-11-30 13:21:15.717446,21,-2148,-3309,-44
651,1669782075.795596,2022-11-30 13:21:15.795596,21,-2378,3352,-347
650,1669782075.99865,2022-11-30 13:21:15.998650,21,-2160,-3285,32
651,1669782076.029724,2022-11-30 13:21:16.029724,21,-2314,3364,-319
650,1669782076.060824,2022-11-30 13:21:16.060824,21,-2164,-3269,20
651,1669782076.154719,2022-11-30 13:21:16.154719,21,-2310,3336,-299
650,1669782076.186476,2022-11-30 13:21:16.186476,21,-2188,-3277,-12
651,1669782076.266597,2022-11-30 13:21:16.266597,21,-2366,3400,-343
650,1669782076.485329,2022-11-30 13:21:16.485329,21,-2144,-3289,-12
650,1669782076.594709,2022-11-30 13:21:16.594709,21,-2176,-3305,8
651,1669782076.625927,2022-11-30 13:21:16.625927,21,-2330,3344,-363
651,1669782076.797833,2022-11-30 13:21:16.797833,21,-2338,3384,-351
650,1669782076.922834,2022-11-30 13:21:16.922834,21,-2152,-3289,-4
651,1669782076.969706,2022-11-30 13:21:16.969706,21,-2374,3372,-375
650,1669782076.969706,2022-11-30 13:21:16.969706,21,-2164,-3293,-32
651,1669782077.094695,2022-11-30 13:21:17.094695,21,-2334,3344,-359
650,1669782077.125959,2022-11-30 13:21:17.125959,21,-2132,-3293,4
650,1669782077.297838,2022-11-30 13:21:17.297838,21,-2152,-3301,-12
651,1669782077.344713,2022-11-30 13:21:17.344713,21,-2338,3364,-283
651,1669782077.48533,2022-11-30 13:21:17.485330,21,-2370,3364,-295
650,1669782077.532209,2022-11-30 13:21:17.532209,21,-2132,-3281,0
651,1669782077.594711,2022-11-30 13:21:17.594711,21,-2298,3380,-339
650,1669782077.797836,2022-11-30 13:21:17.797836,21,-2152,-3305,-4
651,1669782077.84471,2022-11-30 13:21:17.844710,21,-2370,3388,-351
650,1669782077.985368,2022-11-30 13:21:17.985368,21,-2132,-3281,-4
651,1669782078.032207,2022-11-30 13:21:18.032207,21,-2370,3328,-351
650,1669782078.047633,2022-11-30 13:21:18.047633,21,-2140,-3305,0
651,1669782078.284575,2022-11-30 13:21:18.284575,21,-2338,3324,-315
650,1669782078.347075,2022-11-30 13:21:18.347075,21,-2148,-3269,-40
650,1669782078.378337,2022-11-30 13:21:18.378337,21,-2160,-3261,-28
651,1669782078.393743,2022-11-30 13:21:18.393743,21,-2338,3416,-363
650,1669782078.597076,2022-11-30 13:21:18.597076,21,-2140,-3293,-40
651,1669782078.643947,2022-11-30 13:21:18.643947,21,-2330,3368,-331
651,1669782078.753378,2022-11-30 13:21:18.753378,21,-2370,3368,-291
650,1669782078.800191,2022-11-30 13:21:18.800191,21,-2152,-3301,-8
651,1669782078.893971,2022-11-30 13:21:18.893971,21,-2362,3344,-307
650,1669782078.940826,2022-11-30 13:21:18.940826,21,-2156,-3297,-16
650,1669782079.097075,2022-11-30 13:21:19.097075,21,-2176,-3305,-28
651,1669782079.112699,2022-11-30 13:21:19.112699,21,-2402,3352,-343
650,1669782079.284576,2022-11-30 13:21:19.284576,21,-2168,-3305,8
651,1669782079.315825,2022-11-30 13:21:19.315825,21,-2362,3388,-339
650,1669782079.377967,2022-11-30 13:21:19.377967,21,-2116,-3301,-12
651,1669782079.597067,2022-11-30 13:21:19.597067,21,-2334,3372,-331
650,1669782079.64395,2022-11-30 13:21:19.643950,21,-2156,-3309,-16
651,1669782079.784574,2022-11-30 13:21:19.784574,21,-2350,3380,-347
650,1669782079.847077,2022-11-30 13:21:19.847077,21,-2196,-3333,0
651,1669782079.847077,2022-11-30 13:21:19.847077,21,-2378,3328,-363
650,1669782080.083806,2022-11-30 13:21:20.083806,21,-2136,-3297,-8
651,1669782080.145949,2022-11-30 13:21:20.145949,21,-2330,3372,-367
650,1669782080.16158,2022-11-30 13:21:20.161580,21,-2148,-3309,-44
651,1669782080.177205,2022-11-30 13:21:20.177205,21,-2386,3368,-371
650,1669782080.398157,2022-11-30 13:21:20.398157,21,-2144,-3289,-56
651,1669782080.413889,2022-11-30 13:21:20.413889,21,-2370,3348,-371
650,1669782080.59206,2022-11-30 13:21:20.592060,21,-2144,-3297,0
651,1669782080.638894,2022-11-30 13:21:20.638894,21,-2370,3328,-303
651,1669782080.795197,2022-11-30 13:21:20.795197,21,-2350,3340,-299
650,1669782080.810791,2022-11-30 13:21:20.810791,21,-2180,-3273,16
650,1669782080.998342,2022-11-30 13:21:20.998342,21,-2176,-3309,-4
651,1669782081.045198,2022-11-30 13:21:21.045198,21,-2366,3408,-363
650,1669782081.185795,2022-11-30 13:21:21.185795,21,-2132,-3317,-4
651,1669782081.201422,2022-11-30 13:21:21.201422,21,-2354,3396,-339
650,1669782081.24833,2022-11-30 13:21:21.248330,21,-2112,-3289,-16
651,1669782081.279542,2022-11-30 13:21:21.279542,21,-2334,3360,-327
650,1669782081.451416,2022-11-30 13:21:21.451416,21,-2152,-3305,-4
651,1669782081.467089,2022-11-30 13:21:21.467089,21,-2326,3400,-299
650,1669782081.685793,2022-11-30 13:21:21.685793,21,-2156,-3321,8
651,1669782081.732666,2022-11-30 13:21:21.732666,21,-2350,3344,-307
650,1669782081.77954,2022-11-30 13:21:21.779540,21,-2156,-3293,4
651,1669782081.99826,2022-11-30 13:21:21.998260,21,-2362,3336,-335
650,1669782082.060796,2022-11-30 13:21:22.060796,21,-2172,-3269,-20
651,1669782082.060796,2022-11-30 13:21:22.060796,21,-2318,3408,-391
650,1669782082.201728,2022-11-30 13:21:22.201728,21,-2164,-3305,-24
651,1669782082.21945,2022-11-30 13:21:22.219450,21,-2354,3412,-339
651,1669782082.266325,2022-11-30 13:21:22.266325,21,-2338,3372,-343
650,1669782082.485087,2022-11-30 13:21:22.485087,21,-2152,-3289,-24
651,1669782082.531994,2022-11-30 13:21:22.531994,21,-2350,3412,-331
650,1669782082.547575,2022-11-30 13:21:22.547575,21,-2208,-3289,-24
650,1669782082.797573,2022-11-30 13:21:22.797573,21,-2172,-3265,-12
651,1669782082.9382,2022-11-30 13:21:22.938200,21,-2330,3400,-347
651,1669782082.969447,2022-11-30 13:21:22.969447,21,-2330,3364,-291
650,1669782082.969447,2022-11-30 13:21:22.969447,21,-2120,-3325,-24
651,1669782083.062843,2022-11-30 13:21:23.062843,21,-2370,3396,-327
650,1669782083.297577,2022-11-30 13:21:23.297577,21,-2148,-3265,-8
651,1669782083.32884,2022-11-30 13:21:23.328840,21,-2354,3404,-355
650,1669782083.3757,2022-11-30 13:21:23.375700,21,-2184,-3321,-8
651,1669782083.438166,2022-11-30 13:21:23.438166,21,-2358,3412,-315
650,1669782083.438166,2022-11-30 13:21:23.438166,21,-2156,-3309,-24
650,1669782083.594416,2022-11-30 13:21:23.594416,21,-2172,-3305,16
651,1669782083.797223,2022-11-30 13:21:23.797223,21,-2386,3336,-355
651,1669782083.860121,2022-11-30 13:21:23.860121,21,-2330,3412,-327
650,1669782083.875696,2022-11-30 13:21:23.875696,21,-2140,-3309,-8
651,1669782083.985111,2022-11-30 13:21:23.985111,21,-2362,3404,-351
650,1669782084.078623,2022-11-30 13:21:24.078623,21,-2188,-3269,-4
651,1669782084.237497,2022-11-30 13:21:24.237497,21,-2338,3396,-327
650,1669782084.268765,2022-11-30 13:21:24.268765,21,-2136,-3325,20
650,1669782084.393754,2022-11-30 13:21:24.393754,21,-2136,-3293,0
651,1669782084.45625,2022-11-30 13:21:24.456250,21,-2326,3388,-347
651,1669782084.596901,2022-11-30 13:21:24.596901,21,-2354,3368,-323
650,1669782084.612405,2022-11-30 13:21:24.612405,21,-2156,-3305,4
651,1669782084.78437,2022-11-30 13:21:24.784370,21,-2330,3352,-355
650,1669782084.846892,2022-11-30 13:21:24.846892,21,-2156,-3281,-16
651,1669782084.878089,2022-11-30 13:21:24.878089,21,-2374,3368,-395
650,1669782084.893542,2022-11-30 13:21:24.893542,21,-2164,-3285,8
651,1669782085.096884,2022-11-30 13:21:25.096884,21,-2354,3392,-347
650,1669782085.284371,2022-11-30 13:21:25.284371,21,-2152,-3305,0
651,1669782085.315618,2022-11-30 13:21:25.315618,21,-2350,3372,-323
650,1669782085.315618,2022-11-30 13:21:25.315618,21,-2144,-3305,-8
651,1669782085.346932,2022-11-30 13:21:25.346932,21,-2358,3380,-371
650,1669782085.596876,2022-11-30 13:21:25.596876,21,-2144,-3297,12
651,1669782085.737487,2022-11-30 13:21:25.737487,21,-2330,3368,-363
650,1669782085.753121,2022-11-30 13:21:25.753121,21,-2152,-3233,12
651,1669782085.768397,2022-11-30 13:21:25.768397,21,-2366,3356,-355
650,1669782085.784167,2022-11-30 13:21:25.784167,21,-2144,-3269,0
651,1669782085.846937,2022-11-30 13:21:25.846937,21,-2350,3412,-319
650,1669782086.099215,2022-11-30 13:21:26.099215,21,-2112,-3305,-4
650,1669782086.289111,2022-11-30 13:21:26.289111,21,-2096,-3297,-4
651,1669782086.304766,2022-11-30 13:21:26.304766,21,-2366,3364,-275
651,1669782086.320008,2022-11-30 13:21:26.320008,21,-2366,3376,-331
650,1669782086.351589,2022-11-30 13:21:26.351589,21,-2160,-3305,8
650,1669782086.585987,2022-11-30 13:21:26.585987,21,-2152,-3261,-28
651,1669782086.632902,2022-11-30 13:21:26.632902,21,-2354,3380,-299
651,1669782086.648134,2022-11-30 13:21:26.648134,21,-2334,3364,-339
650,1669782086.663758,2022-11-30 13:21:26.663758,21,-2184,-3269,8
